Date,IN003M
30.09.2024,7.3
27.09.2024,7.29
26.09.2024,7.3
25.09.2024,7.3
24.09.2024,7.3
23.09.2024,7.3
20.09.2024,7.3
19.09.2024,7.3
17.09.2024,7.29
16.09.2024,7.29
13.09.2024,7.29
12.09.2024,7.29
11.09.2024,7.29
10.09.2024,7.29
09.09.2024,7.29
06.09.2024,7.29
05.09.2024,7.29
04.09.2024,7.29
03.09.2024,7.29
02.09.2024,7.29
30.08.2024,7.29
29.08.2024,7.28
28.08.2024,7.27
27.08.2024,7.27
26.08.2024,7.27
23.08.2024,7.27
22.08.2024,7.27
21.08.2024,7.27
20.08.2024,7.27
19.08.2024,7.27
16.08.2024,7.27
14.08.2024,7.26
13.08.2024,7.26
12.08.2024,7.26
09.08.2024,7.25
08.08.2024,7.26
07.08.2024,7.26
06.08.2024,7.26
05.08.2024,7.27
02.08.2024,7.28
01.08.2024,7.28
31.07.2024,7.28
30.07.2024,7.29
29.07.2024,7.28
26.07.2024,7.29
24.07.2024,7.29
23.07.2024,7.3
22.07.2024,7.3
19.07.2024,7.3
18.07.2024,7.29
16.07.2024,7.29
15.07.2024,7.29
12.07.2024,7.3
11.07.2024,7.3
09.07.2024,7.29
08.07.2024,7.3
05.07.2024,7.3
04.07.2024,7.29
03.07.2024,7.29
02.07.2024,7.29
01.07.2024,7.29
28.06.2024,7.31
27.06.2024,7.31
26.06.2024,7.32
25.06.2024,7.3
24.06.2024,7.3
21.06.2024,7.3
20.06.2024,7.29
19.06.2024,7.3
18.06.2024,7.31
14.06.2024,7.3
13.06.2024,7.29
12.06.2024,7.3
11.06.2024,7.3
10.06.2024,7.3
07.06.2024,7.29
06.06.2024,7.29
05.06.2024,7.29
04.06.2024,7.29
03.06.2024,7.28
31.05.2024,7.29
30.05.2024,7.29
29.05.2024,7.29
28.05.2024,7.29
27.05.2024,7.29
24.05.2024,7.3
22.05.2024,7.31
21.05.2024,7.31
17.05.2024,7.3
16.05.2024,7.29
15.05.2024,7.29
14.05.2024,7.3
13.05.2024,7.3
10.05.2024,7.3
09.05.2024,7.3
08.05.2024,7.29
07.05.2024,7.28
06.05.2024,7.27
03.05.2024,7.28
02.05.2024,7.3
30.04.2024,7.3
29.04.2024,7.3
26.04.2024,7.31
25.04.2024,7.31
24.04.2024,7.3
23.04.2024,7.29
22.04.2024,7.29
19.04.2024,7.28
18.04.2024,7.28
16.04.2024,7.28
15.04.2024,7.29
12.04.2024,7.3
10.04.2024,7.3
08.04.2024,7.29
05.04.2024,7.29
04.04.2024,7.3
03.04.2024,7.32
02.04.2024,7.38
28.03.2024,7.48
27.03.2024,7.44
26.03.2024,7.44
22.03.2024,7.45
21.03.2024,7.4
20.03.2024,7.4
19.03.2024,7.39
18.03.2024,7.37
15.03.2024,7.35
14.03.2024,7.32
13.03.2024,7.33
12.03.2024,7.35
11.03.2024,7.37
07.03.2024,7.35
06.03.2024,7.33
05.03.2024,7.33
04.03.2024,7.34
01.03.2024,7.34
29.02.2024,7.35
28.02.2024,7.36
27.02.2024,7.36
26.02.2024,7.36
23.02.2024,7.35
22.02.2024,7.34
21.02.2024,7.34
20.02.2024,7.36
16.02.2024,7.36
15.02.2024,7.36
14.02.2024,7.38
13.02.2024,7.39
12.02.2024,7.39
09.02.2024,7.39
08.02.2024,7.39
07.02.2024,7.37
06.02.2024,7.34
05.02.2024,7.34
