Date,PX_BID,PX_VOLUME,PX_ASK
30.09.2024,25986.15,327144,25990
27.09.2024,26345.4,191859,26346.35
26.09.2024,26219.9,254868,26219.95
25.09.2024,26003,189802,26005.25
24.09.2024,25954.1,225409,25956
23.09.2024,25915.2,250164,25916.9
20.09.2024,25786.8,488293,25790.2
19.09.2024,25502.3,303629,25506
18.09.2024,25370.8,196272,25375
17.09.2024,25446,109306,25447
16.09.2024,25434.55,144290,25434.8
13.09.2024,25367.2,174129,25369.05
12.09.2024,25335,434264,25339
11.09.2024,24948.2,196003,24948.95
10.09.2024,25097,241055,25097.9
09.09.2024,24991.3,213948,24993.3
06.09.2024,24909.4,416285,24909.45
05.09.2024,25234,156886,25236
04.09.2024,25251,221796,25253.15
03.09.2024,25341,129562,25344.85
02.09.2024,25335.55,204112,25338.3
30.08.2024,25395.1,222989,25398
29.08.2024,25155.65,273109,25156.3
28.08.2024,25055,214598,25056.45
27.08.2024,25002.65,168667,25009.5
26.08.2024,25045,206149,25045.5
23.08.2024,24854.5,142487,24861.7
22.08.2024,24840,132026,24841
21.08.2024,24796.15,119193,24800
20.08.2024,24708,150366,24708.2
19.08.2024,24592,151933,24598
16.08.2024,24599,381625,24600
14.08.2024,24170.45,180341,24174
13.08.2024,24158.5,227964,24162.7
12.08.2024,24363,263966,24363.55
09.08.2024,24404,260013,24404.8
08.08.2024,24120,376292,24123.95
07.08.2024,24368,331278,24373.85
06.08.2024,24090,422172,24090.6
05.08.2024,24093,713540,24094.1
02.08.2024,24700,329256,24702.25
01.08.2024,25036.7,229057,25037
31.07.2024,25032.25,164889,25033
30.07.2024,24932.5,211184,24935.45
29.07.2024,24922,281192,24922.55
26.07.2024,24915,409727,24923.35
25.07.2024,24407,322209,24408
24.07.2024,24420.25,315393,24425
23.07.2024,24452.95,535506,24453
22.07.2024,24516.9,235289,24516.95
19.07.2024,24528.25,320221,24529.9
18.07.2024,24808,377529,24811.25
16.07.2024,24636,130886,24642.45
15.07.2024,24622.05,133595,24623.95
12.07.2024,24525,260938,24529
11.07.2024,24402.25,231355,24406
10.07.2024,24340,310075,24342.9
09.07.2024,24478.3,146868,24484.95
08.07.2024,24374,130096,24379.9
05.07.2024,24386,230381,24388.1
04.07.2024,24375,196993,24375.2
03.07.2024,24365,210056,24365.1
02.07.2024,24210.3,211888,24210.9
01.07.2024,24212,163209,24218.1
28.06.2024,24131,284644,24132.15
27.06.2024,24047.1,306976,24047.6
26.06.2024,23856,228932,23862.1
25.06.2024,23735,254050,23735.2
24.06.2024,23552.35,259606,23555
21.06.2024,23460.05,301184,23466
20.06.2024,23592.25,222217,23597.9
19.06.2024,23492.75,312950,23499.95
18.06.2024,23570,160903,23573
14.06.2024,23456.55,181496,23457.1
13.06.2024,23395,205751,23397
12.06.2024,23358.05,236735,23360
11.06.2024,23312.65,231449,23315.4
10.06.2024,23231.1,310009,23236
07.06.2024,23334.15,517101,23339.9
06.06.2024,22933,613773,22933.8
05.06.2024,22582.2,785272,22598.7
04.06.2024,21967.8,1615661,21975.5
03.06.2024,23445,561462,23450
31.05.2024,22699,525192,22703.85
30.05.2024,22487.15,241362,22489.8
29.05.2024,22731,280759,22733
28.05.2024,22926,198257,22931
27.05.2024,23001.1,231983,23006
24.05.2024,23015.5,219961,23024.5
23.05.2024,23006,412684,23008
22.05.2024,22666.55,145086,22671.9
21.05.2024,22590.15,185970,22598.35
18.05.2024,22540.45,30830,22544
17.05.2024,22508,198597,22511.2
16.05.2024,22473.05,554977,22473.25
15.05.2024,22277.25,217207,22280.7
14.05.2024,22312,266745,22314
13.05.2024,22224.25,341795,22225
10.05.2024,22127.05,286527,22128
09.05.2024,22071,465931,22072.85
08.05.2024,22392.85,299555,22395
07.05.2024,22375.2,280721,22381
